"procedure_description"
"FACE, FRACTURE, ENDOSCOPIC REDUCTION AND FIXATION"
"LYMPH NODE (CERVICAL), VARIOUS LESIONS, RADICAL BLOCK DISSECTION"
"PELVIC FLOOR RECONSTRUCTION, MIS (SI700P)"
"KIDNEY, PELVI-URETERIC JUNCTION OBSTRUCTION, OPEN PYELOPLASTY/URETEROCALYCOSTOMY"
"Arteriovenous Fistula, Synthetic Graft (SD709A)"
"LYMPH NODE (SINGLE), VARIOUS LESIONS, EXCISION BIOPSY (MIS) (SE708L)"
"LOWER LIMB, LENGTH DISCREPANCIES, LENGTHENING PROCEDURES"
"VULVA, LABIAL ABNORMALITY, LABIOPLASTY"
"TOES, TOE DEFORMITYMULTIPLE/COMPLEX"
"FOOT, HALLUX VALGUS RECONSTRUCTION/HAMMER TOES, RECONSTRUCTION"
"LYMPH NODE (RETROPERITONEAL), VARIOUS LESIONS, LIMITED EXCISION"
"VEIN, ARTERIO-VENOUS FISTULA, DISSECTION AND LIGATION"
"UPPER LIMB, FRACTURE/DISLOCATION, MANIPULATION AND REDUCTION"
"Breast, Tumor (Malignant), Simple Mastectomy with Axiliary Clearance, with/without Sentinel Node Bio"
"BRONCHUS, FOREIGN BODY, REMOVAL VIA BRONCHOTOMY (SC800B)"
"Pharynx, Various Lesions, Flap/Pharyngoplasty (SM704P)"
"MOUTH, MUCOUS CYST/RANULA OF FLOOR OF MOUTH, MARSUPIALIZATION /BIOPSY"
"JOINTS (FINGER), VARIOUS LESIONS, EXCISION ARTHROPLASTY"
"KIDNEY, BLOCKED NEPHROSTOMY TUBE, CHANGE"
"MOUTH, LEUKOPLAKIA, LIMITED EXCISION"
"CERVIX, CERVICAL INCOMPETENCE, CERCLAGE (SI802C)"
"BROW, DIRECT BROWPLASTY, UNILATERAL (SL704B)"
"BURSA, BURSITIS, EXCISION BIOPSY (MORE THAN 1/BILATERAL)"
"NECK, BRANCHIAL CYST, REMOVAL WITH BIOPSY"
"Abd Cav, Adhesions (Ext), Lysis as primary proc, ext with or w/o bowel resection (MIS/open) where ti"
"Bronchoscopy, with Dilatation of Tracheal and Bronchial Stricture (SC707B)"
"INTESTINE, SMALL BOWEL, ILEOSTOMY STENOSIS, REVISION"
"BILE DUCT, BILIARY ATRESIA, PORTO-ENTEROSTOMY"
"MANDIBLE OR MAXILLA, TUMOR, MARGINAL RESECTION"
"THROAT, UVULOPALATOPHARYNGOPLASTY (U3P) (SM701T)"
"FALLOPIAN TUBE, REMOVAL OF ECTOPIC GESTATION (SI805F)"
"MAXILLA, FRACTURE - LE FORT I, CLOSED REDUCTION AND FIXATION (SB830M)"
"VEIN, VARIOUS LESIONS, INSERTION OF CENTRAL VENOUS LINE"
"SINUSES - NASAL, ORO-ANTRAL FISTULA, CLOSURE"
"VEIN, VARICOSE VEINS, IMAGING GUIDED ENDOVENOUS LASER TREATMENT, 2 LEGS"
"THORAX, RESUSCITATIVE TRAUMA THORACOTOMY (HAEMOSTASIS, DAMAGE CONTROL, ORGAN REPAIR) (SC705T)"
"HAND, AMPUTATED DIGIT(S), TOE TO HAND TRANSFER (SB800H)"
"PROSTATE GLAND, VARIOUS LESIONS, RADICAL PROSTATECTOMY (OPEN/LAPARASCOPIC/ROBOTIC)"
"UTERUS, MALIGNANT CONDITIONS, WERTHEIM'S OPERATION INCLUDING PELVIC LYMPHADENECTOMY (SI830U)"
"UPPER LIMB/LOWER LIMB, BONE LOSS/NONUNION, BONE GRAFTING (SB817B)"
"AORTA, RUPTURED ABDOMINAL AORTIC ANEURYSM, EXCISION AND INSERTION OF GRAFT (SD802A)"
"Parathyroid, Various Lesions, Excision (SJ800P)"
"SUBCUT TISS, OBESITY, EXCISION/LIPECTOMY, LIMBS (UNILATERAL/BILATERAL) FOLLOWING WEIGHT LOSS SURGERY"
"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), STAGED DISTANT FLAP (DIVISION) (SA817S)"
"SKULL/FACE, MALIGNANT TUMOUR/TRAUMA, CRANIOFACIAL RESECTION"
"PROSTATE GLAND, VARIOUS LESIONS, TRANSURETHRAL RESECTION OF PROSTATE (TURP) (MORE THAN 30 GM)"
"BLADDER, CYSTOSCOPY, WITH ENDOSCOPIC REMOVAL/MANIPULATION OF URETERIC CALCULUS (SG711B)"
"BLADDER, CALCULUS, VESICOLITHOTOMY/LITHOLAPAXY/ULTRASONIC LITHOTRIPSY"
"Nose, Various Lesions (Postnasal Space), Direct Examination with Biopsy and Nasendoscopy (SM713N)"
"THYROID, VARIOUS LESIONS, TOTAL THYROIDECTOMY COMPLEX (RECURRENCE) / WITH/WITHOUT STERNAL SPLIT"
"PROSTATE GLAND, VARIOUS LESIONS, TRANS-RECTAL ULTRASOUND (TRUS)"
"EYELIDS, PTOSIS, CORRECTION LEVATOR PALPEBRAE SUPERIORIS RESECTION (UNILATERAL) (SL834E)"
"CERVIX, VARIOUS LESIONS, COLPOSCOPY, LASER VAPOURISATION/LOOP ELECTROSURGICAL EXCISION PROCEDURE/LAS"
"ABDOMINAL WALL, EXOMPHALOS/GASTROSCHISIS, OPERATING BY PLASTIC FLAP (SF815A)"
"EXAMINATION UNDER ANAESTHESIA (GENERAL OR REGIONAL)"
"BONE (LOWER LIMB), FRACTURE/DISLOCATION, MANIPULATION AND KIRSCHNER WIRE FIXATION"
"AORTA, DESCENDING AORTIC ANEURYSM, EXCISION AND INSERTION OF GRAFT"
"PROSTATE GLAND, VARIOUS LESIONS, TOTAL PROSTATECTOMY (OPEN)"
"CERVIX, TRANSCERVICAL RESECTION (TCR) POLYP (<2CM), HYSTEROSCOPIC (SI704C)"
"BLOOD VESSELS, REACTIONARY/SECONDARY HEMORRHAGE AFTER MINOR OPERATION, HEMOSTASIS  (SD800B)"
"VULVA, MALIGNANT CONDITION, WIDE LOCAL EXCISION"
"VEIN (LARGE), VARIOUS LESIONS, LIGATION"
"Rectum, Ultra-Low Anterior Resection (Total Mesorectal Excision) with/without Plnd (SF703R)"
"SKIN AND SUBCUTANEOUS TISSUE, HEMANGIOMA/LYMPHANGIOMA (EXTENSIVE AND COMPLEX), EXCISION"
"FOOT, VARIOUS LESIONS, TRIPLE ARTHRODESIS"
"URETHRA, STENOSIS, DILATATION (SI801U)"
"Ankle, Ankle Fracture, Bimalleolar, ORIF (SB700A)"
"Hip, Congenital Dislocation, Open Reduction Including Reconstruction (SB829H)"
"VAGINA, LACERATIONS (COMPLEX AND INVOLVING ANAL SPHINCTER) AND DEBRIDEMENT/SUTURE UNDER GENERAL ANAE"
"FEMUR, FRACTURE (INTERCONDYLAR), OPEN REDUCTION AND INTERNAL FIXATION (ORIF)"
"Lymph Node (Inguinal), Various Lesions, Radical Excision (SE806L)"
"Finger, Various Lesions, Ray Amputation (Single) (SB828F)"
"HAND, DEFORMITY, INTRINSIC MUSCLE RELEASE/TRANSFER/EXTENSOR RELOCATION"
"SKIN, DEFECT, DISTANT SKIN FLAPS (SA705S)"
"EAR, VARIOUS LESIONS, MEATOPLASTY/CANALPLASTY WITH / WITHOUT SPLIT SKIN GRAFT (SM827E)"
"ABDOMINAL CAVITY, SUBPHRENIC ABSCESS, DRAINAGE"
"COLON, COLONOSCOPY, FIBREOPTIC WITH REMOVAL OF POLYP (SINGLE OR MULTIPLE LESS THAN 1CM) (SF704C)"
"HEART, CONGENITAL HEART DISEASE (COMPLEX), OPEN HEART SURGERY (SD805H)"
"JOINTS (UPPER LIMB), PLATES AND SCREWS, REMOVAL"
"VEIN, VARIOUS LESIONS, LIGATION (INCLUDE REPAIR OF ARTIFICIAL ARTERIO-VENOUS FISTULA)"
"CERVIX, TRANSCERVICAL RESECTION (TCR) MYOMA (>3CM), HYSTEREOSCOPIC"
"STOMACH, VARIOUS LESIONS, TOTAL/PROXIMAL GASTRECTOMY WITH/WITHOUT SPLENECTOMY"
"ANKLE, LIGAMENTOUS INSTABILITY, RECONSTRUCTION OF LIGAMENTS (EG. BOSTROM, CHRISMAN-SNOOK) (SB702A)"
"HAND, SUPERFICIAL INFECTION, DRAINAGE"
"BONE (UPPER/LOWER LIMB), EXOSTOSIS, EXCISION BIOPSY (SINGLE)"
"CERVICAL SPINE, VARIOUS LESIONS - ANTERIOR DECOMPRESSION AND FUSION OR DISC REPLACEMENT (1 SEGMENT)"
"LYMPHATICS, LYMPHEDEMA, EXCISION (SMALL)"
"PROSTATE GLAND, VARIOUS LESIONS, SATURATION ROBOTIC TRANSRECTAL/TRANSPERINEAL BIOPSY"
"PHARYNX, VARIOUS LESIONS, FLAP/PHARYNGOPLASTY (SM704P)"
"APPENDIX, VARIOUS LESIONS, APPENDICECTOMY WITHOUT DRAINAGE, OPEN/LAPAROSCOPIC (FOR CGH USE ONLY)(SF8"
"Mastoid, various lesions, Obliteration / reduction of cavity (SM839M)"
"TIBIA, TIBIAL PLATEAU, UNICONDYLAR COMMINUTED/ SIMPLE BICONDYLAR , ORIF (SB703T)"
"TEETH (4 OR MORE), IMPACTED, EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION"
"NOSE, RHINOPHYMA, EXCISION"
"ELBOW, TENNIS ELBOW, RELEASE"
"FALLOPIAN TUBE, PERITUBAL ADHESIONS, SALPINGOLYSIS (MACROSURGERY)"
"MOUTH, SUBMANDIBULAR GLAND, CALCULUS, REMOVAL WITH BIOPSY"
"Abdominal/Retroperitoneal Tumour, Recurrent Resection with or without Vascular Involvement and Vascu"
"EYELIDS, FULL THICKNESS LACERATION, REPAIR"
"KIDNEY, CYST, EXCISION (SG805K)"
"HAND, CLOSED FRACTURE, ORIF (MULTIPLE), NON-JOINT (SB703H)"
"Skull, Burr Hole, Insertion of Intracranial Pressure (ICP) Monitor (SK721S)"
"Kidney, Staghorn Calculus, Nephrolithotomy or Percutaneous Nephrostolithotomy (PCNL) (SG812K)"
"MAXILLA, FRACTURE - LE FORT II (COMPLEX), OPEN REDUCTION AND FIXATION.  (SB834M)"
"Brain, Various Lesions, Insertion of Ommaya Reservoir (SK818B)"
"BREAST, DUCTAL LESIONS, MICRODOCHECTOMY (BILATERAL)"
"SKIN AND SUBCUTANEOUS TISSUE, DEEP>3CM/EXTENSIVE CONTAMINATED WOUND, DEBRIDEMENT"
"VEIN (MAJOR), TRAUMA, REPAIR"
"PARATHYROID, VARIOUS LESIONS, EXCISION (SJ800P)"
"KIDNEY, VARIOUS LESIONS, SIMPLE NEPHRECTOMY, OPEN (SG816K)"
"HIP, VARIOUS LESIONS, ARTHROTOMY (SB835H)"
"FEMUR, SINGLE CONDYLAR FRACTURE, ORIF"
"Pharynx, Various Lesions, Partial Pharyngectomy with Primary Closure (SM705P)"
"SMALL BOWEL, VARIOUS LESIONS, RESECTION"
"LAPAROTOMY DEBULKING (ADVANCED DISEASE - PRIMARY/RECURRENT)"
"ELECTROCONVULSIVE THERAPY , WITH OR WITHOUT THE USE OF STIMULUS DOSING TECHNIQUES, INCLUDING ANY NEC"
"ARTERY, ARTERIO-VENOUS FISTULA, DISSECTION AND REPAIR WITH RESTORATION OF CONTINUITY"
"Lymph node (single), Various Lesions, Excision Biopsy (MIS) (SE708L)"
"URETER, CUTANEOUS URETEROSTOMY, CLOSURE"
"Bladder, Cystoscopy, with Endoscopic Resection/Incision of Bladder Neck (SG712B)"
"TOES, VARIOUS LESIONS, RAY AMPUTATION (SINGLE) (SB708T)"
"SKIN AND SUBCUTANEOUS TISSUE, NEUROFIBROMATOSIS OF FACE AND NECK, EXCISION  (SMALL<3CM)"
"Tendon-Extensor (Upper Limb), Injury, Repair (Single) (SB813T)"
"ARTERIOVENOUS FISTULA, ANGIOPLASTY WITH/WITHOUT STENTING (SD707A)"
"EYELIDS, VARIOUS LESIONS, BLEPHAROPLASTY (2 EYELIDS) UNILATERAL/BILATERAL (LOWER/UPPER)"
"EAR, PARTIAL AMPUTATION, RECONSTRUCTION (SM821E)"
"FOOT, HALLUX VALGUS/HAMMER TOE, PROXIMAL OSTEOTOMY, WITH OR WITHOUT SOFT TISSUE RECONSTRUCTION"
"BONE (LOWER LIMB), TUMOR (BENIGN), >3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION (SB"
"MANDIBLE, VARIOUS LESIONS, ALVEOLECTOMY (PER QUADRANT)"
"PHARYNX/LARYNX, PARAPHARYNGEAL SPACE TUMOR EXCISION"
"SOFT TISSUE (UPPER LIMB), TUMORS (MALIGNANT), RADICAL EXCISION BIOPSY"
"VEIN, STENOSIS / OCCLUSION, PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY (PTA), SIMPLE (SD711V)"
"NERVE-PERIPHERAL (DEEP), TUMOR, EXCISION (SK807N)"
"PENIS, HYPOSPADIAS, CORRECTION OF CHORDEE (SH802P)"
"BRAIN, VARIOUS LESIONS, PALLIDOTOMY/THALAMOTOMY/OTHER STEREOTACTIC PROCEDURE - UNILATERAL"
"FALLOPIAN TUBE, TUBO-OVARIAN ABSCESS, DRAINAGE(TRANSABDOMINAL) (SI809F)"
"BRAIN, INTRACRANIAL EXTRACEREBRAL TUMOR, CRANIOTOMY & REMOVAL, COMPLEX (SK709B)"
"SINUSES - NASAL, INFECTION, FUNCTIONAL SINUSCOPIC ETHMOIDECTOMY (BILATERAL)"
"NECK, BRANCHIAL FISTULA, REMOVAL"
"Vein, Varicose Veins, Imaging Guided Endovenous Laser Treatment, 1 Leg (SD713V)"
"LARYNX, VARIOUS LESIONS, DIRECT EXAMINATION WITH REMOVAL OF TUMOR"
"HAND, OPEN FRACTURE, DEBRIDEMENT AND ORIF (MULTIPLE), JOINT"
"SINUSES - NASAL, VARIOUS LESIONS, FRONTO-NASAL ETHMOIDECTOMY WITH/WITHOUT SPHENOIDOTOMY (SM714S)"
"LYMPH NODE (CERVICAL), VARIOUS LESIONS, RADICAL NECK DISSECTION (SE804L)"
"TOOTH, SIMPLE UNERUPTED/PARTIALLY ERUPTED/IMPACTED/FRACTURED, REMOVAL OF MULTIPLE ROOTS (SF816T)"
"Skin and Subcutaneous Tissue, Neurofibromatosis of Face and Neck, Excision (Large) (SA846S)"
"EYE, GLAUCOMA, CYCLODESTRUCTIVE PROCEDURES (SL706E)"
"PROSTATE GLAND, VARIOUS LESIONS, TRANS-RECTAL ULTRASOUND (TRUS) GUIDED BIOPSY (SH834P)"
"EAR, VARIOUS LESIONS, MIDDLE FOSSA EXTRA-DURAL APPROACH TO TEMPORAL BONE WITH/WITHOUT TRANSMASTOID A"
"JOINTS (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH OSTEOTOMY ALONE"
"UTERUS, PREGNANCY, CAESAREAN SECTION (CLASSICAL/LOWER SEGMENT)"
"TESTIS, UNDESCENDED/ECTOPIC (UNILATERAL), ORCHIDOPEXY/TRANSPLANTATION WITH HERNIA REPAIR"
"Stomach, Morbid Obesity, Reduction and Bypass (MIS/open) (SF804S)"
"SKIN AND SUBCUTANEOUS TISSUE, WOUND, DEBRIDEMENT <3CM (SA853S)"
"JOINTS (SHOULDER), VARIOUS LESIONS, IMPINGEMENT SYNDROME (SB707J)"
"MANDIBLE AND MAXILLA, VARIOUS LESIONS, OSTEOTOMY AND INSERTION OF DEVICE FOR DISTRACTION OSTEOGENESI"
"ANKLE, VARIOUS LESIONS, EXCISION/INTERPOSITION ARTHROPLASTY"
"ABDOMINAL WALL, VENTRAL/INCISIONAL/RECURRENT HERNIA (LAPAROSCOPIC OR OPEN)"
"TENDON (PERONEAL), SUBLUXATION, RECONSTRUCTION (SB800T)"
"Skin and Subcutaneous Tissue, Defect (Deep), Free Flaps (SA815S)"
"Ureter, Cystoscopy and Insertion of Double J Stent (SG700U)"
"BLADDER, VARIOUS LESIONS, ENLARGEMENT CYSTOPLASTY WITH BOWEL"
"FINGER, VARIOUS LESIONS, AMPUTATION (MULTIPLE)"
"UTERUS, LAPAROSCOPIC ABLATION OF ENDOMETRIOSIS, MIS (SIMPLE) (AS SINGLE PROCEDURE, NOT INVOLVING REC"
"Bone (Lower Limb), Grade 1 and 2 Open Fractures/Open Dislocation or Open Fracture-Dislocation Wound "
"VEIN, VARICOSITY, BILATERAL STRIPPING/EXCISION/MULTIPLE LIGATIONS"
"PAROTID, TUMOR, TOTAL PAROTIDECTOMY WITH RADICAL NECK DISSECTION (SF817P)"
"LACRIMAL GLAND (CANALICULUS), VARIOUS LESIONS, IMMEDIATE REPAIR"
"HAND, COMPLEX INJURIES, MICROSURGICAL REPAIR/RECONSTRUCTION, >1 DIGIT  (SB707H)"
"TESTIS, VARIOUS LESIONS, ORCHIDECTOMY (SIMPLE) (SH808T)"
"CLAVICLE, CLAVICLE FRACTURE, DELAYED UNION/REVISION AND ORIF WITH/WITHOUT BONE GRAFTING (SB702C)"
"UTERUS, PROLAPSE, VAGINAL HYSTERECTOMY + BILATERAL SALPINGO-OOPHORECTOMY"
"SHOULDER, DEFORMITIES,  DEFORMITIES, OSTEOTOMIES WITH PLATE FIXATION AND WITH OR W/O FLUOROSCOPY AND"
"SUBCUTANEOUS TISSUE, OBESITY, LIPECTOMY (TRANSVERSE WEDGE EXCISION OF ABDOMINAL APRON/LIPECTOMY WITH"
"HEART, PERICARDIAL DISEASE, PERICARDIECTOMY (SD818H)"
"BOWELS, ENDOSCOPIC ULTRASOUND WITH STENT INSERTION"
"FALLOPIAN TUBE, TUBO-OVARIAN ABSCESS, DRAINAGE(TRANSABDOMINAL)"
"Anus, Fistula-In-Ano, Insertion of Seton (SF720A)"
"MANDIBLE, FRACTURE, CLOSED REDUCTION AND FIXATION"
"Vas Deferens, Various Lesions, Vasectomy (SH803V)"
"Mandible or Maxilla, Odontogenic Cyst (11- 20Mm), Enucleation (SB807M)"
"BRAIN, INTRACEREBRAL TUMOR, BIOPSY AND/OR DECOMPRESSION/REMOVAL VIA CRANIOTOMY, COMPLEX (SK708B)"
"JOINTS (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH OSTEOTOMY ALONE (SB807J)"
"BREAST, DROOPING, MASTOPEXY/REDUCTION  (BILATERAL) (SA804B)"
"HEAD, VARIOUS LESIONS, CRANIOFACIAL RESECTION AND RECONSTRUCTION (SB821H)"
"MOUTH, PERIODONTIUM (WITHIN 2 QUADRANTS), PERIODONTITIS, OPEN FLAP DEBRIDEMENT (SF706M)"
"Heart, Pericardial Effusion, Transthoracic Drainage (SD820H)"
"BLOOD VESSELS, HICKMAN LINE INSERTION"
"Kidney, Carcinoma, Open Radical Nephrectomy CA Kidney with/without IVC Thrombectomy"
"FEMUR, DELAYED/NON UNION, W/ RE-INTERNAL FIXATION AND BONE GRAFTING (SB702F)"
"BREAST (NIPPLE), VARIOUS LESIONS, GRAFT +/OR FLAP RECONSTRUCTION (UNILATERAL) (SA801B)"
"BLADDER, CYSTOSCOPY, WITH OR WITHOUT BIOPSY"
"BONE (UPPER LIMB), TUMOUR (MALIGNANT), WIDE EXCISION WITH RECONSTRUCTION/INTERNAL FIXATION"
"PARATHYROID, VARIOUS LESIONS, RE EXPLORATION (SJ801P)"
"SINUSES, NASAL, VARIOUS LESIONS OF ANTRUM, PROOF PUNCTURE AND/OR LAVAGE (SM711S)"
"SWEAT GLAND, AXILLARY HYPERHIDROSIS, WEDGE EXCISION (BILATERAL) (SA725S)"
"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY"
"Pancreas, Various Lesions, MIS/open subtotal pancreatectomy (extending to the neck) and splenectomy "
"FINGER, VARIOUS LESIONS, AMPUTATION (MULTIPLE) (SB825F)"
"UTERUS, MALIGNANT CONDITIONS, TOTAL PELVIC EXENTERATION"
"MAXILLA, VARIOUS LESIONS, RESECTION WITH RECONSTRUCTION"
"SKULL, CHIARI MALFORMATION/SYRINGOMYELIA, POSTERIOR FOSSA DECOMPRESSION WITH DURAPLASTY"
"UTERUS, FIBROIDS, MYOMECTOMY (SIMPLE) (<5CM) (SI816U)"
"PANCREAS, CYST/PSEUDOCYST, MIS/OPEN DRAINAGE AND ANASTOMOSIS TO INTESTINE/STOMACH (SF805P)"
"PAROTID, TOTAL PAROTIDECTOMY, WITH/WITHOUT PRESERVATION OF FACIAL NERVE (SF714P)"
"Clavicle, Clavicle Fracture, Comminuted Plating with or without Bone Grafting (SB701C)"
"NERVE-CRANIAL, VARIOUS LESIONS, MICROVASCULAR DECOMPRESSION/NEURECTOMY"
"NOSE, CHOANAL ATRESIA, PLASTIC REPAIR (SM701N)"
"Uterus, Hysterectomy & Pelvic Lymphadenectomy, MIS (SI711U)"
"HEART, VARIOUS LESIONS, OPEN HEART SURGERY ON COMBINED SURGERY, TWO PROCEDURES AT ONE SITTING (SD825"
"Nose, Various Lesions (Turbinates), Turbinectomy/Turbinoplasty/Submucous Resection (with or without "
"ARTERY, VARIOUS LESIONS, ENDOVASCULAR STENT PLACEMENT (SD728A)"
"SPERMATIC CORD, SPERMATOCELE/EPIDIDYMAL CYST, EXCISION"
"UTERUS, MALIGNANT CONDITION, RADICAL HYSTERECTOMY WITH/WITHOUT LYMPHADENECTOMY (SI825U)"
"UPPER LIMB/LOWER LIMB, OPEN FRACTURES WITH DEBRIDEMENT AND EXTERNAL FIXATION (SB807L)"
"ABDOMINAL WALL, INGUINAL HERNIA (INFANTS & CHILDREN), BILATERAL HERNIOTOMY"
"NOSE, SIMPLE FRACTURE, MANIPULATION"
"LYMPH NODE (INGUINAL), VARIOUS LESIONS, RADICAL EXCISION"
"EYE, MEDIAL CANTHAL RECONSTRUCTION, UNILATERAL"
"MOUTH, ORO-ANTRAL FISTULA, REMOVAL OF TOOTH/ROOTS IN ANTRUM AND CLOSURE"
"MUSCLE (LOWER LIMB), VARIOUS LESIONS, MARGINAL EXCISION"
"INFERIOR TURBINATE REDUCTION (SUBMUCOUS DIATHERMY/RADIOFREQUENCY) (SM700I)"
"MANDIBLE, FRACTURE (COMMINUTED), OPEN REDUCTION AND FIXATION"
"EAR (MIDDLE), VARIOUS LESIONS, EXPLORATION AND TYMPANOTOMY (SM802E)"
"AORTA, THORACO-ABDOMINAL ANEURYSM, EXCISION AND INSERTION OF GRAFT"
"ARTERY (LARGE), VARIOUS LESIONS, LIGATION (SD808A)"
"SPINE, VERTEBROPLASTY OR KYPHOPLASTY (SINGLE LEVEL) (SB740S)"
"BRONCHOSCOPY WITH BIOPSY, BRONCHOALVEOLAR LAVAGE"
"ABDOMINAL/RETROPERITONEAL TUMOUR, RECURRENT RESECTION WITH OR WITHOUT VASCULAR INVOLVEMENT AND VASCU"
"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY"
"BROW, DIRECT BROWPLASTY, UNILATERAL"
"APPENDIX, TUMOR, RIGHT HEMICOLECTOMY WITH/WITHOUT ADHESIOLYSIS (OPEN OR LAP)"
"BILE DUCT, VARIOUS LESIONS, HEPATICOJEJUNOSTOMY INVOLVING ANASTOMOSIS TO HEPATIC DUCTS BUT WITHOUT L"
"VEIN, VARICOSITY, HIGH LIGATION AND COMPLETE STRIPPING/EXCISION OF SHORT SAPHENOUS VEIN"
"THORAX, RESUSCITATIVE TRAUMA THORACOTOMY (HAEMOSTASIS, DAMAGE CONTROL, ORGAN REPAIR)"
"URETHRA, CARUNCLE/POLYP, EXCISION/LASER VAPORISATION"
"DIAPHRAGM, DIAPHRAGMATIC/HIATUS HERNIA, REPAIR (LAPAROSCOPIC OR OPEN)"
"FEMUR, INTERCONDYLAR FRACTURE, ORIF (SB706F)"
"URETER, CALCULUS, URETEROSCOPY AND LITHOTRIPSY WITH/WITHOUT ULTRASOUND (SG800U)"
"EAR, KERATOSIS OBTURANS MODERATE/SEVERE, EXCISION BIOPSY UNDER GA"
"GALLBLADDER, VARIOUS LESIONS, MIS/OPEN CHOLECYSTECTOMY AND TRANSCYSTIC COMMON BILE DUCT EXPLORATION"
"VEIN, VARICOSITY, MULTIPLE LIGATIONS WITH/WITHOUT LOCAL STRIPPING/EXCISION (SD808V)"
"VEIN, INTRAVENOUS, ANAESTHETIC"
"BREAST, HYPOPLASIA, AUGMENTATION MAMMOPLASTY (PROSTHETIC AND BILATERAL) (SA808B)"
"EAR, TYMPANIC MEMBRANE, BILATERAL MYRINGOTOMY WITH TUBE"
"BLADDER, DIVERTICULUM, OPEN EXCISION"
"Sinuses - Nasal, Infection, Functional Sinuscopic Ethmoidectomy (SM709S)"
"BREAST, TUMOR (MALIGNANT), WIDE EXCISION/ LUMPECTOMY/SEGMENTAL MASTECTOMY/ PARTIAL MASTECTOMY (SA822"
"COLON, SIGMOID, SIGMOIDOSCOPY WITH POLYPECTOMY WITH BIOPSY (SF711C)"
"BREAST, POST MASTECTOMY, IMPLANT/EXPANDER RECONSTRUCTION (UNILATERAL)"
"KNEE, VARIOUS LESIONS, TOTAL JOINT REPLACEMENT (BILATERAL)"
"Artery, Various Lesions, Arterio-Venuous Fistula Creation (SD821A)"
"SINAL-NASAL, ENDOSCOPIC HEMOSTASIS (COMPLEX, UNDER GENERAL ANAESTHESIA)  (SM702S)"
"FOOT, CRUSH INJURIES (SIMPLE), WOUND DEBRIDEMENT"
"HEART, LEFT VENTRICULAR ANEURYSM, RESECTION WITHOUT CORONARY ARTERY BYPASS"
"SPINE, PROLAPSED DISC, LAMINECTOMY/FENESTRATION WITH DISCECTOMY (OPEN OR MIS)"
"KNEE, DISLOCATION, OPEN REDUCTION WITH REPAIR OF LIGAMENTS"
"SPLEEN, VARIOUS NON-TRAUMATIC LESIONS, SPLENECTOMY (MIS/OPEN) (SE803S)"
"Heart, Automatic Implantable Cardioverter Defibrillator (AICD)/Pacemaker Lead Extraction (SD702H)"
"MOUTH, FRENAL ATTACHMENT, RELEASE (SF701M)"
"JOINTS (OTHER THAN HAND AND WRIST), VARIOUS LESIONS, ARTHRODESIS"
"Kidney, Various Lesions, Simple Nephrectomy, Open (SG816K)"
"MOUTH, VARIOUS / PATHOLOGIC LESIONS OF ORAL MUCOSA, CRYOSURGICAL/LASER APPLICATION WITH BIOPSY (SF82"
"MARROW, VARIOUS LESIONS, DIAGNOSTIC ASPIRATION (SE801M)"
"TOOTH (DEEP, I.E. COMPLETELY BURIED IN BONE), EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION  (SF8"
"PHARYNX, TUMOR, PARTIAL PHARYNGECTOMY AND RADICAL NECK DISSECTION WITH FLAP (SM703P)"
"PROSTATE GLAND, VARIOUS LESIONS, SATURATION PROSTATE BIOPSY"
"SKIN, BURNS (LESS THAN 2%), EXCISION (SA859S)"
"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MIS LIGAMENT RECONSTRUCTION WITH MICROFRACTURE (SB"
"STOMACH, VARIOUS LESIONS, PERCUTANEOUS GASTROSTOMY/JEJUNOSTOMY (WITH OR WITHOUT IMAGE GUIDANCE) (SF7"
"EYELIDS, VARIOUS LESIONS, BLEPHAROPLASTY (3 TO 4 EYELIDS) BILATERAL"
"Mandible, Fracture, Open Reduction and Fixation (SB806M)"
"Foot, Congenital Talipes Equinovarus (CTEV), Post Medial Release (SB718F)"
"BREAST, TUMOR (MALIGNANT), NIPPLE/SKIN SPARING MASTECTOMY WITH AXILIARY CLEARANCE, WITH/WITHOUT SENT"
"SUBCUTANEOUS TISSUE (UPPER LIMBS), OBESITY, LIPOSUCTION (SA894S)"
"BRONCHUS/LUNG, ENDOBRONCHIAL ULTRASOUND (EBUS) BIOPSY"
"LIVER, ABSCESS, TRANS-ABDOMINAL DRAINAGE (OPEN OR LAP)"
"Bladder, Cystoscopy, with or without Biopsy (SG713B)"
"SKIN AND  SUBCUTANEOUS TISSUE, LACERATIONS (DEEP >3CM/MULTIPLE) LACERATIONS, REPAIR/TOILET & SUTURE,"
"NOSE, VARIOUS LESIONS, RHINOPLASTY (AUGMENTATION EXCLUDING COST OF IMPLANTS)"
